排名,板块名称,板块代码,最新价,涨跌额,涨跌幅,总市值,换手率,上涨家数,下跌家数,领涨股票,领涨股票-涨跌幅
1,贵金属,BK0732,3753.7,364.4,10.75,899324816000,6.95,11,0,湖南黄金,10.0
2,珠宝首饰,BK0734,562.06,40.71,7.81,195439081000,5.22,15,2,中国黄金,10.04
3,采掘行业,BK1017,1899.86,120.68,6.78,417664720000,4.04,19,2,石化油服,10.11
4,小金属,BK1027,4152.58,192.27,4.85,1975418848000,5.64,38,2,东方钽业,10.0
5,有色金属,BK0478,33442.21,1541.72,4.83,3966792208000,6.3,63,13,怡球资源,9.97
6,煤炭行业,BK0437,12711.0,533.77,4.38,1923815728000,2.33,33,1,山西焦化,10.0
7,能源金属,BK1015,1020.98,25.9,2.6,736199248000,6.22,11,2,威领股份,9.98
8,石油行业,BK0464,7288.56,164.86,2.31,4623741440000,0.99,17,2,洲际油气,10.0
9,玻璃玻纤,BK0546,59732.78,1232.82,2.11,552263968000,5.04,12,9,宏和科技,10.0
10,化肥行业,BK0731,2050.4,41.54,2.07,733334976000,3.53,23,4,芭田股份,5.83
11,化学原料,BK1019,1164.97,21.02,1.84,1219966496000,3.48,65,17,和邦生物,10.16
12,钢铁行业,BK0479,10225.5,157.78,1.57,1151765120000,2.53,35,11,钒钛股份,8.52
13,半导体,BK1036,2447.73,36.21,1.5,8925557248000,6.89,106,68,气派科技,19.99
14,燃气,BK1028,2008.02,23.45,1.18,340324528000,2.66,25,6,蓝焰控股,4.71
15,农牧饲渔,BK0433,16496.46,147.84,0.9,1086546032000,4.01,55,33,农发种业,10.06
16,航运港口,BK0450,12097.58,97.04,0.81,1125093824000,1.31,24,10,海通发展,4.82
17,农药兽药,BK0730,1463.7,11.61,0.8,385000992000,3.12,27,19,中农联合,10.0
18,橡胶制品,BK1018,1812.57,12.68,0.7,396087008000,2.81,20,15,青岛双星,9.95
19,房地产开发,BK0451,15396.93,88.75,0.58,1126366736000,2.03,51,32,盈新发展,10.06
20,铁路公路,BK0421,9195.03,49.39,0.54,684279664000,0.79,21,7,四川成渝,3.81
21,化纤行业,BK0471,20577.75,92.85,0.45,748795824000,2.41,16,14,华峰化学,8.77
22,水泥建材,BK0424,32361.58,51.26,0.16,421935248000,1.79,14,10,鸿路钢构,3.93
23,证券,BK0473,155417.14,217.61,0.14,3588261792000,1.35,28,16,华安证券,2.53
24,化学制品,BK0538,35074.67,49.24,0.14,1895921376000,3.94,80,90,亚邦股份,9.94
25,贸易行业,BK0484,12471.72,15.8,0.13,414255856000,3.46,16,19,中信金属,7.57
26,公用事业,BK0427,9492.84,8.11,0.09,203925833000,1.04,8,14,百通能源,10.02
27,酿酒行业,BK0477,46383.13,23.72,0.05,3042835536000,1.15,23,16,皇台酒业,4.86
28,电源设备,BK1034,3213.28,0.51,0.02,691591824000,2.52,10,23,欧陆通,17.01
29,电力行业,BK0428,18754.62,0.28,0.0,3488021872000,1.46,43,39,嘉泽新能,3.55
30,银行,BK0475,3986.94,-3.64,-0.09,14409044992000,0.43,18,20,常熟银行,2.23
31,电子化学品,BK1039,2578.85,-2.72,-0.11,476142800000,5.95,12,15,雅克科技,5.37
32,房地产服务,BK1045,1263.3,-1.95,-0.15,99391120000,2.84,9,10,群兴玩具,3.19
33,保险,BK0474,1691.42,-2.89,-0.17,3623321488000,0.53,1,4,新华保险,0.93
34,船舶制造,BK0729,1323.44,-3.64,-0.27,509773744000,3.0,2,7,中国动力,2.8
35,通信服务,BK0736,1254.67,-3.98,-0.32,3138414992000,1.63,12,27,美利云,10.02
36,工程建设,BK0425,28848.19,-94.59,-0.33,1542482768000,3.22,26,40,上海建工,10.03
37,综合行业,BK0539,14247.59,-51.43,-0.36,266487164000,3.0,9,10,综艺股份,2.72
38,工程机械,BK0739,2541.72,-9.67,-0.38,909153904000,1.93,12,21,志高机械,5.3
39,装修建材,BK0476,17913.44,-70.15,-0.39,541037584000,2.82,26,40,索菲亚,3.77
40,专业服务,BK1043,1650.37,-7.15,-0.43,297967680000,3.28,11,30,信测标准,8.38
41,造纸印刷,BK0470,11268.1,-49.87,-0.44,283216208000,2.37,9,28,裕同科技,5.79
42,食品饮料,BK0438,30647.09,-135.19,-0.44,1644095920000,1.77,34,82,新诺威,12.9
43,非金属材料,BK1020,2033.5,-9.11,-0.45,589346112000,7.37,17,18,东和新材,4.34
44,多元金融,BK0738,724.47,-3.48,-0.48,512648032000,1.19,5,14,*ST仁东,4.25
45,环保行业,BK0728,578.7,-3.08,-0.53,827198592000,2.83,34,81,飞南资源,20.01
46,旅游酒店,BK0485,17589.51,-101.61,-0.57,449680208000,2.08,12,26,大连圣亚,2.98
47,电子元件,BK0459,38743.18,-245.14,-0.63,3452536160000,3.51,45,104,海洋王,10.04
48,物流行业,BK0422,8173.22,-55.28,-0.67,916780352000,1.41,20,32,中国铁物,4.21
49,电网设备,BK0457,40483.21,-277.79,-0.68,1924036272000,4.9,45,92,智光电气,10.03
50,游戏,BK1046,1697.15,-11.96,-0.7,594906448000,3.38,6,18,完美世界,4.43
51,纺织服装,BK0436,14853.87,-110.92,-0.74,578615408000,1.98,27,70,哈森股份,10.03
52,商业百货,BK0482,20228.02,-150.22,-0.74,590335856000,2.03,15,42,益民集团,2.99
53,通信设备,BK0448,22506.17,-176.24,-0.78,3352341296000,6.0,25,82,鼎通科技,8.74
54,汽车服务,BK1016,1117.7,-9.53,-0.85,74788646000,1.36,2,11,德众汽车,2.16
55,光学光电子,BK1038,2083.09,-20.74,-0.99,1338728544000,2.87,17,83,富吉瑞,14.26
56,互联网服务,BK0447,35763.5,-372.56,-1.03,2264232112000,7.27,40,106,网宿科技,15.14
57,包装材料,BK0733,1475.67,-15.46,-1.04,186584586000,3.19,6,21,顺灏股份,2.65
58,交运设备,BK0429,12071.43,-128.97,-1.06,725826656000,1.85,10,39,今创集团,10.01
59,计算机设备,BK0735,1791.14,-19.46,-1.07,1108340720000,3.16,11,39,司南导航,5.25
60,专用设备,BK0910,3873.79,-45.65,-1.16,2440696896000,3.36,59,207,南矿集团,10.0
61,消费电子,BK1037,2072.02,-24.46,-1.17,3416321488000,2.84,19,82,绿联科技,9.31
62,家用轻工,BK0440,54338.9,-668.79,-1.22,358674416000,2.59,11,33,美新科技,5.45
